,Date,country,code,project,page_id,page_title,item_id,views,population
14316,2018-07-01,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,557,126913433
34649,2018-07-01,Japan,JP,ja.wikipedia,2700,自動車,Q1420,489,126913433
39595,2018-07-01,Japan,JP,ja.wikipedia,4395,南極大陸,Q51,457,126913433
45326,2018-07-01,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,518,126913433
58929,2018-07-01,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,518,126913433
61702,2018-07-01,Japan,JP,ja.wikipedia,7516,米,Q5090,505,126913433
67404,2018-07-01,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,483,126913433
70502,2018-07-01,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,811,126913433
74959,2018-07-01,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,649,126913433
77989,2018-07-01,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,833,126913433
14125,2018-07-02,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,616,126913433
21458,2018-07-02,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,919,126913433
21464,2018-07-02,Japan,JP,ja.wikipedia,1282290,水素,Q556,687,126913433
34006,2018-07-02,Japan,JP,ja.wikipedia,2700,自動車,Q1420,508,126913433
44418,2018-07-02,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,456,126913433
53909,2018-07-02,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,500,126913433
57838,2018-07-02,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,683,126913433
60520,2018-07-02,Japan,JP,ja.wikipedia,7516,米,Q5090,761,126913433
66227,2018-07-02,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,773,126913433
69254,2018-07-02,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,907,126913433
73615,2018-07-02,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1111,126913433
76663,2018-07-02,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,800,126913433
13379,2018-07-03,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,513,126913433
17089,2018-07-03,Japan,JP,ja.wikipedia,22912,セメント,Q45190,553,126913433
20415,2018-07-03,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,816,126913433
20421,2018-07-03,Japan,JP,ja.wikipedia,1282290,水素,Q556,558,126913433
22496,2018-07-03,Japan,JP,ja.wikipedia,413498,旱魃,Q43059,496,126913433
32384,2018-07-03,Japan,JP,ja.wikipedia,2700,自動車,Q1420,525,126913433
42176,2018-07-03,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,452,126913433
49560,2018-07-03,Japan,JP,ja.wikipedia,372271,再生可能エネルギー,Q12705,588,126913433
51175,2018-07-03,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,911,126913433
54850,2018-07-03,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,705,126913433
57391,2018-07-03,Japan,JP,ja.wikipedia,7516,米,Q5090,888,126913433
62760,2018-07-03,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,914,126913433
69730,2018-07-03,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1215,126913433
72560,2018-07-03,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,726,126913433
82182,2018-07-03,Taiwan,TW,zh.wikipedia,309575,甲烷水合物,Q389036,512,23659305
8017,2018-07-04,Japan,JP,ja.wikipedia,7141,チーズ,Q10943,479,126913433
13214,2018-07-04,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,568,126913433
14807,2018-07-04,Japan,JP,ja.wikipedia,22929,コンクリート,Q22657,485,126913433
20103,2018-07-04,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,892,126913433
20110,2018-07-04,Japan,JP,ja.wikipedia,1282290,水素,Q556,671,126913433
31828,2018-07-04,Japan,JP,ja.wikipedia,2700,自動車,Q1420,536,126913433
40299,2018-07-04,Japan,JP,ja.wikipedia,3603400,食品ロス,Q18919,791,126913433
41457,2018-07-04,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,509,126913433
50350,2018-07-04,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,835,126913433
51967,2018-07-04,Japan,JP,ja.wikipedia,109359,外来種,Q183368,489,126913433
54026,2018-07-04,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,801,126913433
56503,2018-07-04,Japan,JP,ja.wikipedia,7516,米,Q5090,852,126913433
58095,2018-07-04,Japan,JP,ja.wikipedia,1476885,グリーンピース_(NGO),Q81307,1506,126913433
58518,2018-07-04,Japan,JP,ja.wikipedia,1540503,石油,Q22656,531,126913433
61375,2018-07-04,Japan,JP,ja.wikipedia,68211,竹,Q670887,476,126913433
61743,2018-07-04,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,903,126913433
68637,2018-07-04,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1205,126913433
71383,2018-07-04,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,842,126913433
76279,2018-07-04,Japan,JP,ja.wikipedia,3342027,パリ協定_(気候変動),Q21707860,504,126913433
11145,2018-07-05,Japan,JP,ja.wikipedia,18498,ウシ,Q830,608,126913433
13103,2018-07-05,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,611,126913433
19928,2018-07-05,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,702,126913433
19935,2018-07-05,Japan,JP,ja.wikipedia,1282290,水素,Q556,626,126913433
22353,2018-07-05,Japan,JP,ja.wikipedia,17362,風力発電,Q43302,533,126913433
31579,2018-07-05,Japan,JP,ja.wikipedia,2700,自動車,Q1420,490,126913433
40066,2018-07-05,Japan,JP,ja.wikipedia,3603400,食品ロス,Q18919,562,126913433
41232,2018-07-05,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,468,126913433
50037,2018-07-05,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,489,126913433
51602,2018-07-05,Japan,JP,ja.wikipedia,109359,外来種,Q183368,459,126913433
53586,2018-07-05,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,1019,126913433
53972,2018-07-05,Japan,JP,ja.wikipedia,1094885,熱波,Q215864,716,126913433
56028,2018-07-05,Japan,JP,ja.wikipedia,7516,米,Q5090,911,126913433
57615,2018-07-05,Japan,JP,ja.wikipedia,1476885,グリーンピース_(NGO),Q81307,486,126913433
60877,2018-07-05,Japan,JP,ja.wikipedia,68211,竹,Q670887,461,126913433
61244,2018-07-05,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,851,126913433
62468,2018-07-05,Japan,JP,ja.wikipedia,52358,氾濫,Q8068,958,126913433
68044,2018-07-05,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1244,126913433
70799,2018-07-05,Japan,JP,ja.wikipedia,14292,災害,Q3839081,557,126913433
70810,2018-07-05,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,701,126913433
75652,2018-07-05,Japan,JP,ja.wikipedia,3342027,パリ協定_(気候変動),Q21707860,481,126913433
7948,2018-07-06,Japan,JP,ja.wikipedia,7141,チーズ,Q10943,522,126913433
11223,2018-07-06,Japan,JP,ja.wikipedia,18498,ウシ,Q830,502,126913433
13216,2018-07-06,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,545,126913433
14823,2018-07-06,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,556,126913433
20087,2018-07-06,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,698,126913433
20095,2018-07-06,Japan,JP,ja.wikipedia,1282290,水素,Q556,458,126913433
22461,2018-07-06,Japan,JP,ja.wikipedia,17362,風力発電,Q43302,770,126913433
22905,2018-07-06,Japan,JP,ja.wikipedia,510542,洪水調節,Q1187968,585,126913433
27720,2018-07-06,Japan,JP,ja.wikipedia,14370,太陽光発電,Q192127,452,126913433
31731,2018-07-06,Japan,JP,ja.wikipedia,2700,自動車,Q1420,581,126913433
41464,2018-07-06,Japan,JP,ja.wikipedia,150031,シロクマ,Q33609,743,126913433
48316,2018-07-06,Japan,JP,ja.wikipedia,39142,石炭,Q24489,460,126913433
50327,2018-07-06,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,452,126913433
51908,2018-07-06,Japan,JP,ja.wikipedia,109359,外来種,Q183368,491,126913433
53949,2018-07-06,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,648,126913433
56424,2018-07-06,Japan,JP,ja.wikipedia,7516,米,Q5090,812,126913433
61720,2018-07-06,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,853,126913433
62967,2018-07-06,Japan,JP,ja.wikipedia,52358,氾濫,Q8068,1581,126913433
68572,2018-07-06,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1180,126913433
68614,2018-07-06,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,653,126913433
71401,2018-07-06,Japan,JP,ja.wikipedia,14292,災害,Q3839081,744,126913433
71411,2018-07-06,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,501,126913433
71832,2018-07-06,Japan,JP,ja.wikipedia,15931,水力発電,Q80638,576,126913433
78441,2018-07-06,Japan,JP,ja.wikipedia,60870,公共交通機関,Q178512,463,126913433
15173,2018-07-07,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,547,126913433
20581,2018-07-07,Japan,JP,ja.wikipedia,1282290,水素,Q556,455,126913433
32653,2018-07-07,Japan,JP,ja.wikipedia,2700,自動車,Q1420,532,126913433
42508,2018-07-07,Japan,JP,ja.wikipedia,150031,シロクマ,Q33609,686,126913433
49866,2018-07-07,Japan,JP,ja.wikipedia,130424,デイ・アフター・トゥモロー,Q14320,530,126913433
64422,2018-07-07,Japan,JP,ja.wikipedia,52358,氾濫,Q8068,1652,126913433
70108,2018-07-07,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,592,126913433
70155,2018-07-07,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,842,126913433
72991,2018-07-07,Japan,JP,ja.wikipedia,14292,災害,Q3839081,896,126913433
73005,2018-07-07,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,472,126913433
73417,2018-07-07,Japan,JP,ja.wikipedia,15931,水力発電,Q80638,650,126913433
16247,2018-07-08,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,498,126913433
21972,2018-07-08,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,471,126913433
21977,2018-07-08,Japan,JP,ja.wikipedia,1282290,水素,Q556,482,126913433
33478,2018-07-08,Taiwan,TW,zh.wikipedia,230375,气溶胶,Q104541,6197,23659305
34715,2018-07-08,Japan,JP,ja.wikipedia,2700,自動車,Q1420,516,126913433
45331,2018-07-08,Japan,JP,ja.wikipedia,150031,シロクマ,Q33609,664,126913433
58999,2018-07-08,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,545,126913433
67353,2018-07-08,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,511,126913433
68683,2018-07-08,Japan,JP,ja.wikipedia,52358,洪水,Q8068,1219,126913433
74871,2018-07-08,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,849,126913433
74909,2018-07-08,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,819,126913433
77980,2018-07-08,Japan,JP,ja.wikipedia,14292,災害,Q3839081,792,126913433
77990,2018-07-08,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,575,126913433
11892,2018-07-09,Japan,JP,ja.wikipedia,18498,ウシ,Q830,467,126913433
13990,2018-07-09,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,572,126913433
15688,2018-07-09,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,527,126913433
21214,2018-07-09,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,687,126913433
21219,2018-07-09,Japan,JP,ja.wikipedia,1282290,水素,Q556,729,126913433
32337,2018-07-09,Taiwan,TW,zh.wikipedia,230375,气溶胶,Q104541,1972,23659305
33544,2018-07-09,Japan,JP,ja.wikipedia,2700,自動車,Q1420,544,126913433
43773,2018-07-09,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,561,126913433
47572,2018-07-09,Japan,JP,ja.wikipedia,2575471,エアロゾル,Q104541,507,126913433
53175,2018-07-09,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,534,126913433
56991,2018-07-09,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,767,126913433
59555,2018-07-09,Japan,JP,ja.wikipedia,7516,米,Q5090,882,126913433
65134,2018-07-09,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,852,126913433
66447,2018-07-09,Japan,JP,ja.wikipedia,52358,洪水,Q8068,1570,126913433
72419,2018-07-09,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1413,126913433
72459,2018-07-09,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,1449,126913433
75366,2018-07-09,Japan,JP,ja.wikipedia,14292,災害,Q3839081,1180,126913433
75375,2018-07-09,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,529,126913433
81341,2018-07-09,Taiwan,TW,zh.wikipedia,19804,熱帶氣旋,Q8092,892,23659305
11890,2018-07-10,Japan,JP,ja.wikipedia,18498,ウシ,Q830,517,126913433
14003,2018-07-10,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,571,126913433
15670,2018-07-10,Japan,JP,ja.wikipedia,29380,氷河時代,Q49367,461,126913433
21238,2018-07-10,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,799,126913433
21243,2018-07-10,Japan,JP,ja.wikipedia,1282290,水素,Q556,602,126913433
29291,2018-07-10,Japan,JP,ja.wikipedia,14370,太陽光発電,Q192127,517,126913433
33515,2018-07-10,Japan,JP,ja.wikipedia,2700,自動車,Q1420,623,126913433
43766,2018-07-10,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,572,126913433
50569,2018-07-10,Japan,JP,ja.wikipedia,22471,ガソリン,Q39558,525,126913433
53154,2018-07-10,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,522,126913433
54798,2018-07-10,Japan,JP,ja.wikipedia,109359,外来種,Q183368,491,126913433
56996,2018-07-10,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,936,126913433
59639,2018-07-10,Japan,JP,ja.wikipedia,7516,米,Q5090,845,126913433
61754,2018-07-10,Japan,JP,ja.wikipedia,1540503,石油,Q22656,565,126913433
65256,2018-07-10,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,1067,126913433
66620,2018-07-10,Japan,JP,ja.wikipedia,52358,洪水,Q8068,1023,126913433
68290,2018-07-10,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,701,126913433
72513,2018-07-10,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1428,126913433
72552,2018-07-10,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,807,126913433
75529,2018-07-10,Japan,JP,ja.wikipedia,14292,災害,Q3839081,816,126913433
75537,2018-07-10,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,621,126913433
81564,2018-07-10,Taiwan,TW,zh.wikipedia,19804,熱帶氣旋,Q8092,1371,23659305
13762,2018-07-11,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,595,126913433
19755,2018-07-11,Japan,JP,ja.wikipedia,96712,異常気象,Q1277161,707,126913433
20958,2018-07-11,Japan,JP,ja.wikipedia,103024,リチウムイオン二次電池,Q2822895,665,126913433
20964,2018-07-11,Japan,JP,ja.wikipedia,1282290,水素,Q556,612,126913433
28919,2018-07-11,Japan,JP,ja.wikipedia,14370,太陽光発電,Q192127,495,126913433
33151,2018-07-11,Japan,JP,ja.wikipedia,2700,自動車,Q1420,523,126913433
43216,2018-07-11,Japan,JP,ja.wikipedia,150031,ホッキョクグマ,Q33609,498,126913433
52524,2018-07-11,Japan,JP,ja.wikipedia,31168,熱帯低気圧,Q8092,474,126913433
54153,2018-07-11,Japan,JP,ja.wikipedia,109359,外来種,Q183368,513,126913433
56310,2018-07-11,Japan,JP,ja.wikipedia,6958,二酸化炭素,Q1997,866,126913433
58870,2018-07-11,Japan,JP,ja.wikipedia,7516,米,Q5090,811,126913433
60519,2018-07-11,Japan,JP,ja.wikipedia,1476885,グリーンピース_(NGO),Q81307,523,126913433
60973,2018-07-11,Japan,JP,ja.wikipedia,1540503,石油,Q22656,461,126913433
63977,2018-07-11,Japan,JP,ja.wikipedia,68211,竹,Q670887,475,126913433
64392,2018-07-11,Japan,JP,ja.wikipedia,10166,アンモニア,Q4087,804,126913433
65703,2018-07-11,Japan,JP,ja.wikipedia,52358,洪水,Q8068,631,126913433
67363,2018-07-11,Japan,JP,ja.wikipedia,15473,熱帯夜,Q842740,706,126913433
71577,2018-07-11,Japan,JP,ja.wikipedia,1474417,地球温暖化,Q7942,1414,126913433
71616,2018-07-11,Japan,JP,ja.wikipedia,81446,エルニーニョ・南方振動,Q14524818,578,126913433
71618,2018-07-11,Japan,JP,ja.wikipedia,87122,自然災害,Q8065,750,126913433
74553,2018-07-11,Japan,JP,ja.wikipedia,14292,災害,Q3839081,835,126913433
74562,2018-07-11,Japan,JP,ja.wikipedia,19223,ケッペンの気候区分,Q124095,451,126913433
74980,2018-07-11,Japan,JP,ja.wikipedia,15931,水力発電,Q80638,968,126913433
80582,2018-07-11,Taiwan,TW,zh.wikipedia,19804,熱帶氣旋,Q8092,577,23659305
13377,2018-07-12,Japan,JP,ja.wikipedia,38736,クジラ,Q1865281,666,126913433
14945,2018-07-12,Japan,JP,ja.wikipedia,22929,コンクリート,Q22657,478,126913433
